date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-29,,cb_noredeem_20260429_1100.log,瑞丰转债,123126,11,15,1.36
2026-04-29,,cb_noredeem_20260429_1100.log,星球转债,118041,3,15,1.83
2026-04-29,,cb_noredeem_20260429_1100.log,超达转债,123187,13,15,1.99
2026-04-29,,cb_noredeem_20260429_1200.log,帝欧转债,127047,10,15,-0.26
2026-04-29,,cb_noredeem_20260429_1200.log,盈峰转债,127024,13,15,0.86
2026-04-29,,cb_noredeem_20260429_1200.log,瑞丰转债,123126,11,15,1.36
2026-04-29,,cb_noredeem_20260429_1200.log,星球转债,118041,3,15,1.83
2026-04-29,,cb_noredeem_20260429_1200.log,超达转债,123187,13,15,1.99
2026-04-29,,cb_noredeem_20260429_1530.log,帝欧转债,127047,11,15,-0.37
2026-04-29,,cb_noredeem_20260429_1530.log,瑞丰转债,123126,11,15,-0.26
2026-04-29,,cb_noredeem_20260429_1530.log,盈峰转债,127024,14,15,0.26
2026-04-29,,cb_noredeem_20260429_1530.log,翔丰转债,123225,6,15,0.49
2026-04-29,,cb_noredeem_20260429_1530.log,华特转债,118033,7,15,1.09
2026-04-29,,cb_noredeem_20260429_1530.log,星球转债,118041,4,15,1.52
2026-04-29,,cb_noredeem_20260429_1530.log,超达转债,123187,14,15,1.95
2026-04-29,,cb_noredeem_20260429_1600.log,帝欧转债,127047,11,15,-0.37
2026-04-29,,cb_noredeem_20260429_1600.log,瑞丰转债,123126,11,15,-0.26
2026-04-29,,cb_noredeem_20260429_1600.log,盈峰转债,127024,14,15,0.26
2026-04-29,,cb_noredeem_20260429_1600.log,翔丰转债,123225,6,15,0.49
2026-04-29,,cb_noredeem_20260429_1600.log,华特转债,118033,7,15,1.09
2026-04-29,,cb_noredeem_20260429_1600.log,星球转债,118041,4,15,1.52
2026-04-29,,cb_noredeem_20260429_1600.log,超达转债,123187,14,15,1.95
2026-04-30,,cb_noredeem_20260430_0900.log,帝欧转债,127047,11,15,-0.37
2026-04-30,,cb_noredeem_20260430_0900.log,瑞丰转债,123126,11,15,-0.26
2026-04-30,,cb_noredeem_20260430_0900.log,盈峰转债,127024,14,15,0.26
2026-04-30,,cb_noredeem_20260430_0900.log,翔丰转债,123225,6,15,0.49
2026-04-30,,cb_noredeem_20260430_0900.log,华特转债,118033,7,15,1.09
2026-04-30,,cb_noredeem_20260430_0900.log,星球转债,118041,4,15,1.52
2026-04-30,,cb_noredeem_20260430_0900.log,超达转债,123187,14,15,1.95
2026-04-30,,cb_noredeem_20260430_0930.log,盈峰转债,127024,14,15,-0.66
2026-04-30,,cb_noredeem_20260430_0930.log,瑞丰转债,123126,11,15,-0.34
2026-04-30,,cb_noredeem_20260430_0930.log,帝欧转债,127047,11,15,-0.24
2026-04-30,,cb_noredeem_20260430_0930.log,华特转债,118033,7,15,1.66
2026-04-30,,cb_noredeem_20260430_1000.log,帝欧转债,127047,11,15,-0.6
2026-04-30,,cb_noredeem_20260430_1000.log,星球转债,118041,4,15,-0.13
2026-04-30,,cb_noredeem_20260430_1000.log,瑞丰转债,123126,11,15,0.79
2026-04-30,,cb_noredeem_20260430_1000.log,盈峰转债,127024,14,15,0.8
2026-04-30,,cb_noredeem_20260430_1000.log,超达转债,123187,14,15,1.11
2026-04-30,,cb_noredeem_20260430_1030.log,帝欧转债,127047,11,15,-0.42
2026-04-30,,cb_noredeem_20260430_1030.log,盈峰转债,127024,14,15,0.01
2026-04-30,,cb_noredeem_20260430_1030.log,瑞丰转债,123126,11,15,0.14
2026-04-30,,cb_noredeem_20260430_1030.log,超达转债,123187,14,15,0.52
2026-04-30,,cb_noredeem_20260430_1030.log,翔丰转债,123225,6,15,1.88
2026-04-30,,cb_noredeem_20260430_1100.log,帝欧转债,127047,11,15,-0.54
2026-04-30,,cb_noredeem_20260430_1100.log,盈峰转债,127024,14,15,-0.23
2026-04-30,,cb_noredeem_20260430_1100.log,超达转债,123187,14,15,0.49
2026-04-30,,cb_noredeem_20260430_1100.log,瑞丰转债,123126,11,15,0.87
2026-04-30,,cb_noredeem_20260430_1100.log,翔丰转债,123225,6,15,1.41
2026-04-30,,cb_noredeem_20260430_1100.log,星球转债,118041,4,15,1.56
2026-04-30,,cb_noredeem_20260430_1130.log,帝欧转债,127047,11,15,-0.94
2026-04-30,,cb_noredeem_20260430_1130.log,盈峰转债,127024,14,15,-0.34
2026-04-30,,cb_noredeem_20260430_1130.log,瑞丰转债,123126,11,15,-0.28
2026-04-30,,cb_noredeem_20260430_1130.log,星球转债,118041,4,15,0.64
2026-04-30,,cb_noredeem_20260430_1130.log,超达转债,123187,14,15,0.77
2026-04-30,,cb_noredeem_20260430_1130.log,翔丰转债,123225,6,15,1.98
2026-04-30,,cb_noredeem_20260430_1200.log,帝欧转债,127047,11,15,-0.85
2026-04-30,,cb_noredeem_20260430_1200.log,盈峰转债,127024,14,15,-0.65
2026-04-30,,cb_noredeem_20260430_1200.log,瑞丰转债,123126,11,15,-0.15
2026-04-30,,cb_noredeem_20260430_1200.log,星球转债,118041,4,15,0.57
2026-04-30,,cb_noredeem_20260430_1200.log,超达转债,123187,14,15,0.77
2026-04-30,,cb_noredeem_20260430_1200.log,翔丰转债,123225,6,15,1.95
2026-04-30,,cb_noredeem_20260430_1230.log,帝欧转债,127047,11,15,-0.85
2026-04-30,,cb_noredeem_20260430_1230.log,盈峰转债,127024,14,15,-0.65
2026-04-30,,cb_noredeem_20260430_1230.log,瑞丰转债,123126,11,15,-0.15
2026-04-30,,cb_noredeem_20260430_1230.log,星球转债,118041,4,15,0.57
2026-04-30,,cb_noredeem_20260430_1230.log,超达转债,123187,14,15,0.77
2026-04-30,,cb_noredeem_20260430_1230.log,翔丰转债,123225,6,15,1.95
2026-04-30,,cb_noredeem_20260430_1300.log,帝欧转债,127047,11,15,-0.85
2026-04-30,,cb_noredeem_20260430_1300.log,盈峰转债,127024,14,15,-0.65
2026-04-30,,cb_noredeem_20260430_1300.log,瑞丰转债,123126,11,15,-0.15
2026-04-30,,cb_noredeem_20260430_1300.log,星球转债,118041,4,15,0.57
2026-04-30,,cb_noredeem_20260430_1300.log,超达转债,123187,14,15,0.77
2026-04-30,,cb_noredeem_20260430_1300.log,翔丰转债,123225,6,15,1.95
2026-04-30,,cb_noredeem_20260430_1330.log,帝欧转债,127047,11,15,-0.37
2026-04-30,,cb_noredeem_20260430_1330.log,瑞丰转债,123126,11,15,-0.23
2026-04-30,,cb_noredeem_20260430_1330.log,盈峰转债,127024,14,15,0.18
